,Environment Feature,,,,,,,,Vehicle Feature,,,,,,,,,,,,,,,,,,,
21,22,46,30,28,53,93,18,79,0,0,42.74509804,vehicle.bmw.grandtourer,0,-179.9938965,0,6,3,I,"33,171,795,547
",42.74509804,0,0,vehicle.seat.leon,0,-179.9938965,0,24,24
22,8,64,31,76,72,39,59,91,0,0,85.09803922,vehicle.citroen.c3,0,-179.9938965,0,35,3,I,"889,508,929,540
",85.09803922,0,0,vehicle.citroen.c3,0,0.006117758,0,23,23
23,3,83,79,82,66,60,13,40,0,0,95.29411765,vehicle.nissan.micra,0,-179.9938965,0,20,3,I,"875,487,943,540
",95.29411765,0,0,vehicle.audi.a2,0.064490646,0.006115891,0,25,25
24,13,100,100,90,100,7,0.75,0,0,0,42.74509804,vehicle.bmw.grandtourer,0,-179.9938965,0,37,3,I,"905,508,949,540
",42.74509804,0,0,vehicle.citroen.c3,0,0.006117758,0,16,16
25,6,58,30,65,86,32,31,38,0,0,42.74509804,vehicle.bmw.grandtourer,0,0.006117758,0,5,3,I,"732,133,1289,548
",42.74509804,0,0,vehicle.audi.etron,0,0.006117758,0,29,29
26,7,11,73,29,32,30,83,68,69.6,13.36898396,73.33333333,vehicle.nissan.patrol,0,0.006117758,0,5,3,I,"493,163,931,545
",73.33333333,13.36898396,69.6,vehicle.seat.leon,0,0.006117758,0,15,15
27,9,44,82,85,53,23,90,5,221.7073171,57.34265734,56.07843137,vehicle.chevrolet.impala,0,0.006117758,0,35,3,I,"952,512,994,540
",56.07843137,57.34265734,221.7073171,vehicle.chevrolet.impala,0,-179.9938965,0,37,37
28,11,5,72,26,81,51,61,32,0,0,85.09803922,vehicle.jeep.wrangler_rubicon,0,0.006117758,0,29,3,I,"923,495,970,540
",85.09803922,0,0,vehicle.volkswagen.t2,0,-179.9938965,0,39,39
29,10,58,58,75,29,97,67,67,0,0,42.74509804,vehicle.bmw.grandtourer,0,-179.9692993,0,2,3,I,"346,262,4666,2215
",42.74509804,0,0,vehicle.nissan.micra,0,0.006117758,0,15,15
30,5,55,17,26,15,2,20,3,221.7073171,57.34265734,56.07843137,vehicle.chevrolet.impala,0,0.006117758,0,20,3,I,"902,487,980,541
",56.07843137,57.34265734,221.7073171,vehicle.toyota.prius,0.000102453,0.006117756,0,14,14
31,24,42,22,71,45,62,3,82,233.372093,80.37383178,83.92156863,vehicle.seat.leon,0,-179.9938965,0,8,3,I,"724,396,926,543
",83.92156863,80.37383178,233.372093,vehicle.chevrolet.impala,0,0.006117758,0,22,22
32,24,24,19,6,72,38,86,58,233.372093,80.37383178,83.92156863,vehicle.seat.leon,0,0.006117758,0,28,3,I,"923,503,968,540
",83.92156863,80.37383178,233.372093,vehicle.citroen.c3,0,-179.9938965,0,21,21
33,11,72,48,52,52,69,38,18,0,0,85.09803922,vehicle.jeep.wrangler_rubicon,0,0.006117758,0,24,3,I,"967,485,1025,540
",85.09803922,0,0,vehicle.bmw.grandtourer,0,0.006117758,0,33,33
34,22,75,31,46,13,83,32,76,0,0,85.09803922,vehicle.jeep.wrangler_rubicon,0,0.006117758,0,9,3,I,"810,379,976,542
",85.09803922,0,0,vehicle.jeep.wrangler_rubicon,0,-179.9938965,0,16,16
35,8,76,6,58,26,69,70,33,226.0465116,83.49514563,40.39215686,vehicle.tesla.model3,0,0.006117758,0,30,3,I,"961,504,1014,540
",40.39215686,83.49514563,226.0465116,vehicle.audi.tt,0,0.006117758,0,5,5
36,4,60,80,3,35,44,17,23,0,0,95.29411765,vehicle.nissan.micra,0,0.006117758,0,19,3,I,"959,485,1027,540
",95.29411765,0,0,vehicle.audi.a2,0.064292565,0.006115987,0,27,27
37,21,88,45,53,96,38,91,44,233.372093,80.37383178,83.92156863,vehicle.seat.leon,0,-179.9938965,0,30,3,I,"878,506,926,540
",83.92156863,80.37383178,233.372093,vehicle.audi.tt,0,0.006117758,0,28,28
38,5,79,73,69,2,95,74,23,69.6,13.36898396,73.33333333,vehicle.nissan.patrol,0,0.006117758,0,39,3,I,"951,506,986,540
",73.33333333,13.36898396,69.6,vehicle.audi.tt,0,-179.9938965,0,7,7
39,9,69,45,54,10,96,85,2,233.372093,80.37383178,83.92156863,vehicle.seat.leon,0,-179.9938965,0,12,3,I,"657,444,831,542
",83.92156863,80.37383178,233.372093,vehicle.citroen.c3,0,0.006117758,0,16,16
40,19,82,99,56,8,92,100,74,0,0,95.29411765,vehicle.nissan.micra,0,-179.9692993,0,2,3,I,"387,250,10918,5579
",95.29411765,0,0,vehicle.audi.tt,0,-179.9938965,0,22,22
41,2,64,83,1,97,90,92,45,0,0,42.74509804,vehicle.bmw.grandtourer,0,0.006117758,0,31,3,I,"903,502,955,540
",42.74509804,0,0,vehicle.audi.tt,0,-179.9938965,0,36,36
42,15,60,37,32,76,79,12,10,350.3571429,100,65.88235294,vehicle.audi.tt,0,-179.9692993,0,4,3,I,"-11457,-2644,473,647
",65.88235294,100,350.3571429,vehicle.nissan.patrol,0,0.006117758,0,17,17
43,9,97,31,60,38,24,76,42,0,0,95.29411765,vehicle.nissan.micra,0,-179.9938965,0,9,3,I,"745,412,922,541
",95.29411765,0,0,vehicle.jeep.wrangler_rubicon,0,-179.9938965,0,31,31
44,3,97,75,41,29,17,42,0,350.3571429,100,65.88235294,vehicle.audi.a2,0.06428574,-179.9938965,0,17,3,I,"809,475,900,541
",65.88235294,100,350.3571429,vehicle.volkswagen.t2,0,0.006117758,0,10,10
45,21,60,61,63,5,36,87,10,350.3571429,100,65.88235294,vehicle.audi.etron,0,-179.9938965,0,34,3,I,"878,506,926,541
",65.88235294,100,350.3571429,vehicle.seat.leon,0,0.006117758,0,14,14
46,16,76,84,47,97,54,62,47,233.372093,80.37383178,83.92156863,vehicle.seat.leon,0,-179.9938965,0,15,3,I,"686,466,822,541
",83.92156863,80.37383178,233.372093,vehicle.toyota.prius,0.000102453,-179.9938965,6.58E-07,32,32
47,3,44,74,70,64,97,41,7,226.0465116,83.49514563,40.39215686,vehicle.tesla.model3,0,0.006117758,0,26,3,I,"961,500,1020,541
",40.39215686,83.49514563,226.0465116,vehicle.nissan.micra,0,0.006117758,0,14,14
48,5,20,66,24,22,42,55,64,0,0,42.74509804,vehicle.bmw.grandtourer,0,0.006117758,0,32,3,I,"925,503,975,540
",42.74509804,0,0,vehicle.seat.leon,0,0.006117758,0,17,17
49,22,87,18,83,44,99,43,90,221.7073171,57.34265734,56.07843137,vehicle.chevrolet.impala,0,-179.9938965,0,34,3,I,"897,511,942,540
",56.07843137,57.34265734,221.7073171,vehicle.audi.a2,0.064265244,-179.9938965,0,24,24
50,11,16,88,5,90,21,48,93,0,0,85.09803922,vehicle.jeep.wrangler_rubicon,0,-179.9938965,0,15,3,I,"822,447,927,541
",85.09803922,0,0,vehicle.nissan.patrol,0,0.006117758,0,22,22
51,14,22,48,44,73,84,84,13,0,83.56164384,28.62745098,vehicle.volkswagen.t2,0,0.006117758,0,22,3,I,"923,474,991,541
",28.62745098,83.56164384,0,vehicle.bmw.grandtourer,0,0.006117758,0,14,14
52,9,95,17,64,59,4,24,5,69.6,13.36898396,73.33333333,vehicle.nissan.patrol,0,-179.9938965,0,32,3,I,"855,499,906,540
",73.33333333,13.36898396,69.6,vehicle.jeep.wrangler_rubicon,0,-179.9938965,0,25,25
53,10,100,29,86,82,25,60,75,0,0,42.74509804,vehicle.bmw.grandtourer,0,-179.9938965,0,33,3,I,"898,504,948,540
",42.74509804,0,0,vehicle.volkswagen.t2,0,-179.9938965,0,13,13
54,19,75,93,87,88,35,50,60,350.3571429,100,65.88235294,vehicle.audi.a2,0.06490045,-179.9938965,0,31,3,I,"875,505,920,540
",65.88235294,100,350.3571429,vehicle.chevrolet.impala,0,0.006117758,0,32,32
55,17,29,82,17,36,23,34,86,0,0,85.09803922,vehicle.citroen.c3,0,0.006117758,0,37,3,I,"964,510,1000,540
",85.09803922,0,0,vehicle.audi.etron,0,-179.9938965,0,12,12
56,23,15,76,48,28,14,0,68,0,0,85.09803922,vehicle.citroen.c3,0,-179.9938965,0,21,3,I,"847,484,920,541
",85.09803922,0,0,vehicle.audi.etron,0,0.006117758,0,35,35
57,16,31,86,29,50,1,84,14,350.3571429,100,65.88235294,vehicle.audi.a2,0.064613588,-179.9938965,0,18,3,I,"801,476,892,541
",65.88235294,100,350.3571429,vehicle.audi.tt,0,0.006117758,0,4,4
58,7,95,82,99,54,52,57,62,226.0465116,83.49514563,40.39215686,vehicle.tesla.model3,0,-179.9938965,0,36,3,I,"855,511,905,540
",40.39215686,83.49514563,226.0465116,vehicle.audi.a2,0.064832151,-179.9938965,0,28,28
59,14,11,60,96,69,10,82,86,350.3571429,100,65.88235294,vehicle.audi.etron,0,-179.9938965,0,7,3,I,"452,326,839,546
",65.88235294,100,350.3571429,vehicle.audi.a2,0.065050721,0.00611561,0,9,9
60,10,24,40,78,94,45,77,82,226.0465116,83.49514563,40.39215686,vehicle.tesla.model3,0,-179.9938965,0,26,3,I,"821,498,896,541
",40.39215686,83.49514563,226.0465116,vehicle.jeep.wrangler_rubicon,0,0.006117758,0,18,18
61,6,38,49,75,39,69,79,88,0,83.56164384,28.62745098,vehicle.volkswagen.t2,0,0.006117758,0,7,3,I,"813,291,1070,544
",28.62745098,83.56164384,0,vehicle.nissan.micra,0,0.006117758,0,23,23
62,7,85,43,56,71,84,20,30,0,0,95.29411765,vehicle.nissan.micra,0,0.006117758,0,30,3,I,"926,505,969,540
",95.29411765,0,0,vehicle.volkswagen.t2,0,0.006117758,0,35,35
63,20,62,2,14,17,71,76,24,0,0,85.09803922,vehicle.jeep.wrangler_rubicon,0,-179.9938965,0,5,3,I,"235,153,811,546
",85.09803922,0,0,vehicle.volkswagen.t2,0,-179.9938965,0,10,10
64,17,54,7,76,9,100,2,63,0,83.56164384,28.62745098,vehicle.volkswagen.t2,0,-179.9938965,0,19,3,I,"818,462,911,541
",28.62745098,83.56164384,0,vehicle.volkswagen.t2,0,0.006117758,0,30,30
65,21,88,21,44,24,56,70,57,0,0,95.29411765,vehicle.nissan.micra,0,0.006117758,0,22,3,I,"906,492,966,540
",95.29411765,0,0,vehicle.citroen.c3,0,0.006117758,0,17,17
66,22,53,67,10,74,44,81,48,69.6,13.36898396,73.33333333,vehicle.nissan.patrol,0,0.006117758,0,35,3,I,"966,503,1005,540
",73.33333333,13.36898396,69.6,vehicle.toyota.prius,0.000102453,0.006117756,1.97E-07,5,5
67,13,17,58,14,64,61,26,88,350.3571429,100,65.88235294,vehicle.audi.etron,0,0.006117758,0,19,3,I,"915,477,994,541
",65.88235294,100,350.3571429,vehicle.nissan.patrol,0,-179.9938965,0,5,5
68,23,98,87,22,15,71,63,56,0,0,95.29411765,vehicle.nissan.micra,0,0.006117758,0,39,3,I,"954,513,987,540
",95.29411765,0,0,vehicle.bmw.grandtourer,0,-179.9938965,0,12,12
69,15,85,99,14,24,90,75,26,0,100,100,vehicle.toyota.prius,0.000102453,-179.9938965,1.52E-07,25,3,I,"800,495,877,541
",100,100,0,vehicle.jeep.wrangler_rubicon,0,0.006117758,0,31,31
70,20,5,0,50,10,2,0.75,0,350.3571429,100,65.88235294,vehicle.audi.etron,0,-179.9938965,0,28,3,I,"852,497,914,541
",65.88235294,100,350.3571429,vehicle.nissan.patrol,0,0.006117758,0,32,32
71,12,30,46,100,25,20,93,20,221.7073171,57.34265734,56.07843137,vehicle.chevrolet.impala,0,0.006117758,0,16,3,I,"845,474,946,542
",56.07843137,57.34265734,221.7073171,vehicle.audi.tt,0,0.006117758,0,9,9
72,14,51,19,41,70,26,7,81,350.3571429,100,65.88235294,vehicle.audi.tt,0,-179.9938965,0,14,3,I,"792,463,920,542
",65.88235294,100,350.3571429,vehicle.toyota.prius,0.000102453,-179.98349,1.59E-15,4,4
73,22,1,85,21,69,94,83,77,233.372093,80.37383178,83.92156863,vehicle.seat.leon,0,0.006117758,0,38,3,I,"929,513,962,540
",83.92156863,80.37383178,233.372093,vehicle.jeep.wrangler_rubicon,0,0.006117758,0,26,26
74,23,69,41,10,71,65,34,5,221.7073171,57.34265734,56.07843137,vehicle.chevrolet.impala,0,0.006117758,0,7,3,I,"967,328,1290,546
",56.07843137,57.34265734,221.7073171,vehicle.audi.etron,0,-179.9938965,0,33,33
75,20,90,73,3,40,8,97,53,226.0465116,83.49514563,40.39215686,vehicle.tesla.model3,0,0.006117758,0,12,3,I,"917,446,1057,542
",40.39215686,83.49514563,226.0465116,vehicle.audi.tt,0,-179.9938965,0,23,23
76,6,8,12,53,36,85,37,91,233.372093,80.37383178,83.92156863,vehicle.seat.leon,0,0.006117758,0,7,3,I,"845,370,1059,544
",83.92156863,80.37383178,233.372093,vehicle.nissan.patrol,0,-179.9938965,0,9,9
77,18,23,19,9,13,95,21,13,0,0,42.74509804,vehicle.bmw.grandtourer,0,0.006117758,0,22,3,I,"896,486,970,541
",42.74509804,0,0,vehicle.seat.leon,0,-179.9692993,0,3,3
78,13,100,100,90,100,7,0.75,0,0,0,85.09803922,vehicle.jeep.wrangler_rubicon,0,-179.9938965,0,25,3,I,"868,486,928,540
",85.09803922,0,0,vehicle.citroen.c3,0,-179.9938965,0,9,9
79,4,91,96,69,91,23,6,92,350.3571429,100,65.88235294,vehicle.audi.etron,0,0.006117758,0,28,3,I,"940,499,992,541
",65.88235294,100,350.3571429,vehicle.toyota.prius,0.000102453,0.006117756,0,22,22
80,10,42,62,96,38,47,92,23,0,0,85.09803922,vehicle.citroen.c3,0,0.006117758,0,5,3,I,"652,212,1036,548
",85.09803922,0,0,vehicle.citroen.c3,0,0.006117758,0,17,17
81,13,14,10,24,56,24,31,34,0,0,85.09803922,vehicle.jeep.wrangler_rubicon,0,0.006117758,0,27,3,I,"960,490,1010,540
",85.09803922,0,0,vehicle.nissan.micra,0,0.006117758,0,33,33
82,22,37,73,57,35,66,52,59,350.3571429,100,65.88235294,vehicle.audi.a2,0.064128645,-179.9938965,-2.04E-13,25,3,I,"813,495,878,540
",65.88235294,100,350.3571429,vehicle.volkswagen.t2,0,0.006117758,0,34,34
83,14,6,1,13,63,50,80,69,0,0,85.09803922,vehicle.citroen.c3,0,-179.9938965,0,36,3,I,"910,509,947,540
",85.09803922,0,0,vehicle.chevrolet.impala,0,0.006117758,0,34,34
84,21,7,43,41,49,36,25,51,0,0,85.09803922,vehicle.citroen.c3,0,-179.9938965,0,31,3,I,"876,504,923,540
",85.09803922,0,0,vehicle.tesla.model3,0,0.006117758,0,22,22
85,18,34,83,11,41,58,58,33,350.3571429,100,65.88235294,vehicle.audi.a2,0.064231098,0.006116218,4.07E-13,11,3,I,"891,438,1010,542
",65.88235294,100,350.3571429,vehicle.nissan.patrol,0,-179.9938965,0,25,25
86,15,16,79,29,76,66,77,30,0,100,100,vehicle.toyota.prius,0.000102453,0.006117756,0,36,3,I,"965,510,1006,540
",100,100,0,vehicle.chevrolet.impala,-0.517543912,179.9220123,-0.283447266,10,10
87,11,98,71,19,64,85,45,93,0,100,100,vehicle.toyota.prius,0.000102453,0.006117756,0,38,3,I,"916,512,954,540
",100,100,0,vehicle.citroen.c3,0,-179.9938965,0,25,25
88,6,64,59,0,11,27,74,47,0,0,95.29411765,vehicle.nissan.micra,0,0.006117758,0,38,3,I,"939,512,973,540
",95.29411765,0,0,vehicle.nissan.patrol,0,-179.9938965,0,11,11
89,15,81,1,51,2,6,29,61,350.3571429,100,65.88235294,vehicle.audi.etron,0,-179.9692993,0,3,3,I,"392,297,6889,3076
",65.88235294,100,350.3571429,vehicle.nissan.patrol,0,0.006117758,0,6,6
90,13,79,66,76,83,58,29,74,221.7073171,57.34265734,56.07843137,vehicle.chevrolet.impala,0,-179.9938965,0,30,3,I,"840,506,901,541
",56.07843137,57.34265734,221.7073171,vehicle.citroen.c3,0,0.006117758,0,5,5
91,19,53,19,79,17,76,49,50,0,0,85.09803922,vehicle.citroen.c3,0,0.006117758,0,36,3,I,"962,509,999,540
",85.09803922,0,0,vehicle.toyota.prius,0.000102453,0.006117754,0,13,13
92,21,63,10,72,65,23,26,66,350.3571429,100,65.88235294,vehicle.audi.etron,0,0.006117758,0,13,3,I,"872,443,994,542
",65.88235294,100,350.3571429,vehicle.volkswagen.t2,0,0.006117758,0,20,20
93,17,83,68,5,85,94,89,99,69.6,13.36898396,73.33333333,vehicle.nissan.patrol,0,0.006117758,0,28,3,I,"923,493,972,540
",73.33333333,13.36898396,69.6,vehicle.toyota.prius,1.077831149,179.9903564,-2.52395606,14,14
94,13,25,84,7,92,75,1,4,350.3571429,100,65.88235294,vehicle.audi.etron,0,-179.9938965,0,40,3,I,"872,511,914,540
",65.88235294,100,350.3571429,vehicle.nissan.micra,0,-179.9938965,0,20,20
95,23,5,47,41,8,81,28,92,69.6,13.36898396,73.33333333,vehicle.nissan.patrol,0,-179.9938965,0,20,3,I,"840,470,923,541
",73.33333333,13.36898396,69.6,vehicle.seat.leon,0,0.006117758,0,27,27
96,5,14,99,100,15,75,39,15,350.3571429,100,65.88235294,vehicle.audi.etron,0,0.006117758,0,32,3,I,"965,504,1011,541
",65.88235294,100,350.3571429,vehicle.citroen.c3,0,0.006117758,0,11,11
97,24,75,35,65,10,0,79,99,233.372093,80.37383178,83.92156863,vehicle.seat.leon,0,0.006117758,0,26,3,I,"970,500,1021,540
",83.92156863,80.37383178,233.372093,vehicle.toyota.prius,0.000102453,0.006117756,0,16,16
98,23,7,87,37,75,50,74,8,350.3571429,100,65.88235294,vehicle.audi.tt,0,-179.9938965,0,10,3,I,"735,434,915,543
",65.88235294,100,350.3571429,vehicle.jeep.wrangler_rubicon,0,0.006117758,0,19,19
99,11,56,75,94,37,52,96,8,0,100,100,vehicle.toyota.prius,0.000102453,-179.9938965,0,6,3,I,"-381,169,643,548
",100,100,0,vehicle.tesla.model3,0,0.006117758,0,17,17
100,7,95,55,8,38,46,72,95,350.3571429,100,65.88235294,vehicle.audi.etron,0,-179.9938965,0,17,3,I,"771,467,887,542
",65.88235294,100,350.3571429,vehicle.audi.etron,0,0.006117758,0,30,30
101,19,32,30,73,71,8,64,27,69.6,13.36898396,73.33333333,vehicle.nissan.patrol,0,-179.9938965,0,28,3,I,"857,493,914,540
",73.33333333,13.36898396,69.6,vehicle.volkswagen.t2,0,0.006117758,0,30,30
102,24,75,54,82,34,23,51,40,69.6,13.36898396,73.33333333,vehicle.nissan.patrol,0,0.006117758,0,18,3,I,"969,464,1051,541
",73.33333333,13.36898396,69.6,vehicle.bmw.grandtourer,0,-179.9938965,0,14,14
103,14,97,43,84,58,25,56,58,0,0,95.29411765,vehicle.nissan.micra,0,-179.9938965,0,8,3,I,"647,387,880,542
",95.29411765,0,0,vehicle.bmw.grandtourer,0,-179.9938965,0,31,31
104,15,70,15,69,66,46,50,42,350.3571429,100,65.88235294,vehicle.audi.tt,0,-179.9938965,0,27,3,I,"811,504,878,541
",65.88235294,100,350.3571429,vehicle.jeep.wrangler_rubicon,0,0.006117758,0,4,4
105,9,30,61,12,53,73,3,100,0,0,85.09803922,vehicle.citroen.c3,0,-179.9938965,0,13,3,I,"605,437,791,542
",85.09803922,0,0,vehicle.seat.leon,0,0.006117758,0,37,37
106,17,22,88,49,83,11,28,65,350.3571429,100,65.88235294,vehicle.audi.a2,0.064360872,-179.9938965,0,34,3,I,"891,508,931,540
",65.88235294,100,350.3571429,vehicle.chevrolet.impala,0,0.006117758,0,11,11
107,16,43,28,89,93,78,8,51,69.6,13.36898396,73.33333333,vehicle.nissan.patrol,0,0.006117758,0,12,3,I,"878,417,1007,541
",73.33333333,13.36898396,69.6,vehicle.nissan.micra,0,0.006117758,0,23,23
108,17,4,69,40,82,57,76,93,233.372093,80.37383178,83.92156863,vehicle.seat.leon,0,-179.9938965,0,24,3,I,"860,495,923,541
",83.92156863,80.37383178,233.372093,vehicle.toyota.prius,0.000102453,0.006117756,0,39,39
109,18,53,69,90,84,71,94,15,350.3571429,100,65.88235294,vehicle.audi.etron,0,-179.9692993,0,3,3,I,"440,269,21453,9496
",65.88235294,100,350.3571429,vehicle.jeep.wrangler_rubicon,0,-179.9938965,0,39,39
110,15,76,60,63,29,65,32,48,69.6,13.36898396,73.33333333,vehicle.nissan.patrol,0,0.006117758,0,8,3,I,"986,320,1240,543
",73.33333333,13.36898396,69.6,vehicle.volkswagen.t2,0,0.006117758,0,35,35
111,8,59,90,79,11,64,50,9,350.3571429,100,65.88235294,vehicle.audi.etron,0,0.006117758,0,20,3,I,"951,480,1026,541
",65.88235294,100,350.3571429,vehicle.seat.leon,0,-179.9938965,0,22,22
112,5,58,32,15,53,3,67,22,350.3571429,100,65.88235294,vehicle.audi.a2,0.064326718,0.006116165,0,8,3,I,"991,393,1181,543
",65.88235294,100,350.3571429,vehicle.nissan.micra,0,-179.9938965,0,18,18
113,18,34,90,51,23,21,97,56,0,0,95.29411765,vehicle.nissan.micra,0,0.006117758,0,22,3,I,"964,491,1024,540
",95.29411765,0,0,vehicle.audi.tt,0,0.006117758,0,38,38
114,4,5,63,81,24,97,32,46,350.3571429,100,65.88235294,vehicle.audi.a2,0.06451796,0.006116147,0,21,3,I,"976,489,1039,541
",65.88235294,100,350.3571429,vehicle.nissan.patrol,0,-179.9938965,0,7,7
115,20,60,0,50,10,2,0.75,0,221.7073171,57.34265734,56.07843137,vehicle.chevrolet.impala,0,-179.9938965,0,40,3,I,"866,515,910,540
",56.07843137,57.34265734,221.7073171,vehicle.seat.leon,0,0.006117758,0,4,4
116,21,34,82,57,15,77,52,25,226.0465116,83.49514563,40.39215686,vehicle.tesla.model3,0,0.006117758,0,32,3,I,"905,507,954,540
",40.39215686,83.49514563,226.0465116,vehicle.audi.etron,0,0.006117758,0,8,8
117,20,64,34,43,2,58,47,93,0,0,42.74509804,vehicle.bmw.grandtourer,0,-179.9938965,0,19,3,I,"762,475,873,541
",42.74509804,0,0,vehicle.tesla.model3,0,-179.9938965,0,6,6
118,22,84,62,82,57,80,68,39,0,0,42.74509804,vehicle.bmw.grandtourer,0,-179.9938965,0,10,3,I,"730,401,935,542
",42.74509804,0,0,vehicle.seat.leon,0,0.006117758,0,13,13
119,4,17,18,73,95,11,53,93,221.7073171,57.34265734,56.07843137,vehicle.chevrolet.impala,0,-179.9938965,0,20,3,I,"835,488,923,541
",56.07843137,57.34265734,221.7073171,vehicle.chevrolet.impala,0,0.006117758,0,34,34
120,22,56,77,50,98,81,24,82,0,83.56164384,28.62745098,vehicle.volkswagen.t2,0,0.006117758,0,31,3,I,"905,494,953,540
",28.62745098,83.56164384,0,vehicle.seat.leon,0,-179.9938965,0,16,16
121,22,86,82,63,60,94,9,77,0,0,95.29411765,vehicle.nissan.micra,0,0.006117758,0,31,3,I,"944,507,985,540
",95.29411765,0,0,vehicle.tesla.model3,0,-179.9938965,0,23,23
