,TestId,Forest,Prediction,Anchor,Precision,Coverage,Label
10,6437,"[15, 1, 5, 3, 10, 16, 6, 0, 7, 2, 8, 9, 0, 0, 5, 4, 15, 2, 1, 3, 13]",Safety level,cardistance <= 9.00 AND cloudiness <= 50.00 AND fogden <= 24.00 AND ponding <= 25.00 AND carcolor_H > 69.60 AND carnumber <= 3.00 AND fogdis > 23.00 AND time <= 7.00 AND wetness > 23.00 AND 24.00 < precipitation <= 75.00 AND carcolor_V > 56.08 AND carcolor_S > 0.00 AND wind > 24.00 AND yaw > 100.04,0.846579129,0,Safety level
11,3780,"[1, 15, 6, 5, 13, 3, 13, 7, 10, 16, 10, 8, 3, 6, 7, 4, 5, 9, 3, 8, 1, 0]",High Risk level,cloudiness > 75.00 AND cardistance > 9.00 AND fogdis <= 23.00 AND 24.00 < fogden <= 76.00 AND -178.77 < yaw <= 100.04 AND ponding > 75.00 AND 23.00 < wetness <= 74.00 AND carcolor_H <= 69.60 AND carnumber > 2.00 AND carcolor_V > 65.88 AND wind <= 76.00 AND carcolor_S <= 100.00 AND time > 13.00,0.848039216,0,High Risk level
12,2037,"[1, 6, 16, 16, 0, 5, 0, 4, 2, 1, 17, 15, 11, 7, 2, 8, 3, 5, 14, 12, 15, 9]",Low Risk level,cloudiness <= 24.00 AND fogdis <= 48.00 AND 2.00 < carnumber <= 3.00 AND 7.00 < time <= 19.00 AND 24.00 < fogden <= 50.00 AND wind > 50.00 AND precipitation <= 49.00 AND roadtype = R AND cardistance <= 9.00 AND cartype = vehicle.nissan.micra AND wetness <= 23.00 AND carcolor_V > 65.88 AND ponding > 50.00 AND roll <= 0.00 AND pitch <= 0.00 AND carcolor_S <= 0.00,0.952574526,0,Low Risk level
13,784,"[15, 1, 11]",High Risk level,cardistance > 23.00 AND cloudiness > 50.00 AND cartype = vehicle.nissan.patrol,0.961810467,0.008,High Risk level
14,6605,"[15, 17, 1, 10, 4, 6, 7, 13, 3, 6, 3, 2, 0, 8, 8, 4, 9, 15, 6, 9, 7, 7, 15, 2, 1, 4, 0, 16, 12, 5, 2, 5, 13, 0, 5, 14, 16, 11, 8, 1, 13, 3]",Safety level,cardistance <= 9.00 AND roadtype = I AND 24.00 < cloudiness <= 50.00 AND carcolor_H > 0.00 AND wind > 76.00 AND fogdis > 74.00 AND wetness > 74.00 AND -178.77 < yaw <= 0.01 AND 25.00 < ponding <= 50.00 AND 24.00 < precipitation <= 49.00 AND 13.00 < time <= 19.00 AND 65.88 < carcolor_V <= 85.10 AND 0.00 < carcolor_S <= 100.00 AND 2.00 < carnumber <= 3.00 AND pitch <= 0.00 AND fogden > 76.00 AND roll <= 0.00 AND cartype = vehicle.nissan.patrol,0.941871921,0.0002,Safety level
15,6800,"[1, 15, 5]",High Risk level,cloudiness > 75.00 AND cardistance > 17.00 AND fogden > 50.00,0.951631046,0.0601,High Risk level
16,5274,"[17, 10, 1, 15, 9, 16, 6, 3, 0, 2, 15, 10, 8, 9, 10, 1, 9, 15, 16, 13, 2]",Medium Risk Level,roadtype = X AND carcolor_H <= 0.00 AND cloudiness <= 50.00 AND cardistance > 23.00 AND carcolor_S <= 0.00 AND carnumber <= 2.00 AND fogdis <= 74.00 AND ponding <= 75.00 AND time <= 19.00 AND precipitation <= 49.00 AND carcolor_V > 56.08 AND yaw > -178.77,0.898266423,0.0003,Medium Risk Level
17,6557,"[15, 1, 11, 5, 13, 3, 6, 4, 4, 16, 7, 8, 9, 12, 15, 0, 7, 2, 1, 7, 5, 13, 9, 3, 8, 9, 3, 13, 15, 14, 2, 8, 0]",Safety level,9.00 < cardistance <= 17.00 AND cloudiness <= 50.00 AND cartype = vehicle.audi.a2 AND fogden <= 50.00 AND yaw > 100.04 AND ponding <= 25.00 AND fogdis > 23.00 AND wind <= 50.00 AND carnumber <= 3.00 AND 23.00 < wetness <= 49.00 AND 56.08 < carcolor_V <= 65.88 AND 80.37 < carcolor_S <= 100.00 AND pitch > 0.00 AND 7.00 < time <= 19.00 AND precipitation <= 49.00 AND roll <= 0.00,0.939130435,0.0012,Safety level
18,3532,"[1, 6, 10, 5, 17, 15, 9, 13, 7, 14, 16, 4, 3, 12, 5, 7, 9, 15, 1, 9, 7, 6, 10, 6, 5, 13, 8, 4, 4, 3, 2, 2, 15, 8, 8, 0, 11, 0]",Low Risk level,cloudiness <= 50.00 AND fogdis <= 23.00 AND carcolor_H > 69.60 AND fogden > 76.00 AND roadtype = R AND cardistance <= 9.00 AND 80.37 < carcolor_S <= 100.00 AND yaw > 0.01 AND wetness > 74.00 AND roll <= 0.00 AND carnumber > 2.00 AND 24.00 < wind <= 50.00 AND ponding <= 50.00 AND pitch <= 0.00 AND carcolor_V <= 56.08 AND precipitation > 49.00 AND time > 19.00 AND cartype = vehicle.tesla.model3,0.847513089,0,Low Risk level
19,5821,"[1, 15, 17, 6, 5, 4]",Safety level,cloudiness <= 24.00 AND cardistance <= 17.00 AND roadtype = I AND fogdis > 48.00 AND fogden <= 50.00 AND wind > 24.00,0.955640051,0.0046,Safety level
20,6060,"[15, 17, 1, 5, 8, 8, 0, 2, 13, 15, 5, 15, 16, 1, 5, 4, 4, 2, 13]",Safety level,9.00 < cardistance <= 17.00 AND roadtype = I AND cloudiness <= 50.00 AND fogden <= 24.00 AND carcolor_V > 85.10 AND time > 7.00 AND precipitation > 49.00 AND yaw <= -178.77 AND carnumber <= 3.00 AND 24.00 < wind <= 76.00,0.919862622,0,Safety level
21,4117,"[15, 1, 1, 11, 17, 14, 5, 7, 10, 5, 4, 16, 13, 4, 3, 10, 2, 9, 3, 15, 7, 4, 5, 10, 7, 1, 12, 2, 3, 15, 2, 9, 9, 0, 13, 0, 0, 6, 6]",Medium Risk Level,cardistance <= 9.00 AND 50.00 < cloudiness <= 75.00 AND cartype = vehicle.nissan.micra AND roadtype = X AND roll <= 0.00 AND 50.00 < fogden <= 76.00 AND wetness <= 23.00 AND carcolor_H <= 0.00 AND 24.00 < wind <= 50.00 AND carnumber <= 3.00 AND -178.77 < yaw <= 100.04 AND 25.00 < ponding <= 50.00 AND precipitation <= 24.00 AND carcolor_S <= 0.00 AND pitch <= 0.00 AND time <= 7.00 AND fogdis > 74.00,0.883185841,0.0005,Medium Risk Level
22,7180,"[15, 6, 14, 1, 13, 8, 16, 4, 4, 13, 2, 15, 2, 7, 13, 7, 6, 6, 15, 9, 8, 4, 12, 2]",Safety level,cardistance <= 9.00 AND fogdis > 74.00 AND roll > 0.00 AND cloudiness <= 75.00 AND -178.77 < yaw <= 0.01 AND 56.08 < carcolor_V <= 85.10 AND carnumber <= 3.00 AND wind <= 24.00 AND 49.00 < precipitation <= 75.00 AND wetness > 49.00 AND carcolor_S <= 100.00 AND pitch <= 0.00,0.741587302,0.0001,Safety level
23,1060,"[1, 15, 11]",High Risk level,cloudiness > 75.00 AND cardistance > 17.00 AND cartype = vehicle.nissan.patrol,0.952830189,0.0085,High Risk level
24,662,"[15, 1, 3, 17]",High Risk level,cardistance > 23.00 AND cloudiness > 50.00 AND ponding > 75.00 AND roadtype = T,0.985663082,0.0053,High Risk level
25,1494,"[1, 15, 10, 17, 13, 5, 2, 14, 12, 16, 13, 2, 5, 7, 8, 1, 2, 10, 4, 1, 9, 13, 10, 3, 3, 0, 9, 0, 4, 11, 7, 7, 16, 6]",High Risk level,cloudiness > 75.00 AND cardistance > 9.00 AND carcolor_H <= 0.00 AND roadtype = T AND yaw <= -178.77 AND 24.00 < fogden <= 76.00 AND 24.00 < precipitation <= 49.00 AND roll <= 0.00 AND pitch <= 0.00 AND carnumber > 3.00 AND 49.00 < wetness <= 74.00 AND carcolor_V <= 85.10 AND wind > 50.00 AND 0.00 < carcolor_S <= 100.00 AND ponding > 50.00 AND time <= 13.00 AND cartype = vehicle.volkswagen.t2 AND fogdis > 23.00,0.856388088,0,High Risk level
26,433,"[15, 1, 5, 6, 3, 7, 2, 12, 2, 8, 3, 4, 13, 14, 15, 5]",High Risk level,cardistance > 17.00 AND cloudiness > 24.00 AND fogden > 50.00 AND fogdis <= 74.00 AND ponding > 75.00 AND wetness > 49.00 AND precipitation > 49.00 AND pitch <= 0.00 AND carcolor_V <= 85.10 AND wind <= 76.00 AND yaw <= 100.04 AND roll <= 0.00,0.795025334,0.0041,High Risk level
27,462,"[1, 15, 5]",High Risk level,cloudiness > 75.00 AND cardistance > 17.00 AND fogden > 50.00,0.962314939,0.0603,High Risk level
28,372,"[1, 15, 9, 6, 11, 5, 4, 14, 0, 1, 12, 6, 9, 3, 5, 9, 1, 4, 2, 3, 10, 10, 8, 10, 4, 5, 8, 3, 0, 13, 7, 13, 2, 7, 16]",High Risk level,cloudiness > 75.00 AND cardistance > 9.00 AND carcolor_S <= 0.00 AND fogdis <= 48.00 AND cartype = vehicle.nissan.micra AND 50.00 < fogden <= 76.00 AND 24.00 < wind <= 50.00 AND roll <= 0.00 AND 7.00 < time <= 19.00 AND pitch <= 0.00 AND ponding <= 25.00 AND 24.00 < precipitation <= 75.00 AND carcolor_H <= 0.00 AND carcolor_V > 65.88 AND yaw > 0.01 AND wetness > 49.00 AND carnumber <= 2.00,0.853658537,0,High Risk level
29,2796,"[1, 17, 15, 6, 9]",Low Risk level,cloudiness <= 24.00 AND roadtype = I AND cardistance > 17.00 AND fogdis <= 74.00 AND carcolor_S <= 0.00,0.964769648,0.0067,Low Risk level
30,3207,"[1, 11, 16, 16, 4, 9, 15, 8, 3, 0, 9, 9, 12, 7, 4, 8, 2, 5, 3, 8, 7, 4, 10, 0, 10, 10, 3, 13, 13, 13, 2, 2, 7, 5, 15, 17]",Low Risk level,cloudiness <= 75.00 AND cartype = vehicle.toyota.prius AND 2.00 < carnumber <= 3.00 AND 50.00 < wind <= 76.00 AND 80.37 < carcolor_S <= 100.00 AND 9.00 < cardistance <= 17.00 AND carcolor_V > 85.10 AND 50.00 < ponding <= 75.00 AND time <= 13.00 AND pitch > 0.00 AND 23.00 < wetness <= 49.00 AND 24.00 < precipitation <= 49.00 AND 50.00 < fogden <= 76.00 AND carcolor_H <= 0.00 AND yaw <= -178.77 AND roadtype = T,0.508009153,0.0003,Low Risk level
31,2550,"[1, 3, 10, 15, 9, 10, 8, 0, 6, 0, 7, 16, 7, 11, 13, 5, 7, 14, 16, 12, 0, 2]",Low Risk level,cloudiness <= 24.00 AND ponding > 75.00 AND carcolor_H > 69.60 AND cardistance > 17.00 AND carcolor_S > 0.00 AND carcolor_V > 56.08 AND 7.00 < time <= 13.00 AND fogdis <= 74.00 AND wetness <= 23.00 AND 2.00 < carnumber <= 3.00 AND cartype = vehicle.seat.leon AND yaw > 0.01 AND fogden <= 50.00 AND roll <= 0.00 AND pitch <= 0.00 AND precipitation > 24.00,0.95030303,0.0003,Low Risk level
32,5566,"[15, 1, 1, 8, 6, 13, 5, 9, 4, 14, 2, 11]",Medium Risk Level,cardistance <= 9.00 AND 50.00 < cloudiness <= 75.00 AND carcolor_V <= 56.08 AND fogdis <= 48.00 AND yaw > 100.04 AND fogden > 50.00 AND carcolor_S > 0.00 AND wind > 24.00 AND roll <= 0.00 AND precipitation <= 49.00 AND cartype = vehicle.chevrolet.impala,0.957286432,0.0002,Medium Risk Level
33,2196,"[1, 15, 17, 6]",Low Risk level,cloudiness <= 24.00 AND cardistance > 23.00 AND roadtype = I AND fogdis <= 48.00,0.975728155,0.0088,Low Risk level
34,2623,"[1, 6, 15, 15, 17, 11, 13, 4, 9, 5, 8, 10, 16, 7, 0, 9, 4, 8, 13, 9, 5, 5, 4, 1, 6, 15, 13, 16, 12, 2, 3]",Low Risk level,cloudiness <= 50.00 AND fogdis <= 48.00 AND 9.00 < cardistance <= 17.00 AND roadtype = X AND cartype = vehicle.nissan.patrol AND -178.77 < yaw <= 0.01 AND wind > 76.00 AND 0.00 < carcolor_S <= 80.37 AND fogden <= 24.00 AND carcolor_V > 65.88 AND carcolor_H > 0.00 AND 2.00 < carnumber <= 3.00 AND wetness <= 74.00 AND time > 7.00 AND pitch > 0.00 AND precipitation <= 49.00 AND ponding <= 25.00,0.861863847,0.0002,Low Risk level
35,5838,"[15, 11, 6, 1, 5, 13, 0, 17, 4, 8, 16, 2, 16, 10, 9, 4, 0, 4, 7, 6, 15, 7, 13, 5, 10, 0, 13, 14, 7, 9]",Safety level,cardistance <= 17.00 AND cartype = vehicle.audi.a2 AND fogdis > 48.00 AND cloudiness <= 75.00 AND fogden <= 50.00 AND yaw > 100.04 AND time <= 7.00 AND roadtype = R AND wind <= 24.00 AND carcolor_V > 56.08 AND 2.00 < carnumber <= 3.00 AND precipitation > 24.00 AND carcolor_H > 69.60 AND 80.37 < carcolor_S <= 100.00 AND wetness > 74.00 AND roll <= 0.00,0.886075949,0,Safety level
36,3622,"[1, 15, 5, 17]",High Risk level,cloudiness > 75.00 AND cardistance > 17.00 AND fogden > 76.00 AND roadtype = X,0.959235669,0.0048,Low Risk level
37,4793,"[17, 6, 10, 15, 1, 15, 9, 1, 0, 5, 8, 13, 3, 0, 14, 15, 6, 3, 5, 8, 6, 5, 8]",Medium Risk Level,roadtype = R AND fogdis <= 23.00 AND carcolor_H <= 233.37 AND cardistance > 23.00 AND cloudiness <= 24.00 AND carcolor_S <= 80.37 AND time <= 7.00 AND fogden > 76.00 AND carcolor_V <= 56.08 AND yaw > 0.01 AND 25.00 < ponding <= 75.00 AND roll <= 0.00,0.920991926,0.0002,Medium Risk Level
38,5011,"[15, 17, 1, 8, 6, 11, 13, 14, 7, 2, 9, 0, 4, 5, 16, 3]",Safety level,cardistance <= 9.00 AND roadtype = I AND cloudiness <= 75.00 AND carcolor_V > 85.10 AND fogdis > 48.00 AND cartype = vehicle.toyota.prius AND yaw <= -178.77 AND roll > 0.00 AND wetness > 49.00 AND precipitation <= 49.00 AND carcolor_S > 80.37 AND time <= 19.00 AND wind <= 76.00 AND fogden > 24.00 AND carnumber > 2.00 AND ponding <= 75.00,0.951851852,0,Safety level
39,2588,"[1, 5, 15, 15, 17, 11, 10, 14, 13, 0, 10, 10, 5, 1, 15, 0, 16, 9, 8, 0, 16, 4, 8, 8, 4, 7, 12, 2, 2, 4, 13, 2]",Low Risk level,cloudiness <= 50.00 AND fogden > 50.00 AND 9.00 < cardistance <= 17.00 AND roadtype = X AND cartype = vehicle.jeep.wrangler_rubicon AND carcolor_H <= 0.00 AND roll <= 0.00 AND yaw > 0.01 AND 13.00 < time <= 19.00 AND 2.00 < carnumber <= 3.00 AND carcolor_S <= 100.00 AND 65.88 < carcolor_V <= 85.10 AND wind <= 24.00 AND wetness > 23.00 AND pitch <= 0.00 AND precipitation <= 24.00,0.767479675,0.0007,Low Risk level
40,5531,"[17, 11, 6, 1, 8, 15, 1, 10, 12, 13, 14, 3, 5, 4, 6, 8, 4, 13, 16, 2, 2, 16, 15, 7, 8, 9, 7]",Medium Risk Level,roadtype = T AND cartype = vehicle.tesla.model3 AND fogdis <= 48.00 AND cloudiness <= 50.00 AND carcolor_V <= 56.08 AND 17.00 < cardistance <= 23.00 AND carcolor_H <= 233.37 AND pitch <= 0.00 AND -178.77 < yaw <= 100.04 AND roll <= 0.00 AND ponding <= 75.00 AND fogden > 24.00 AND wind > 76.00 AND 2.00 < carnumber <= 3.00 AND precipitation > 49.00 AND wetness > 49.00 AND carcolor_S <= 100.00,0.883231876,0,Medium Risk Level
41,1104,"[1, 13, 0, 10, 15, 11, 6, 5, 15, 4, 9, 17, 16, 8, 8, 13, 14, 2, 3, 2, 4, 10, 0, 9, 12, 6, 5, 16, 9, 6, 4, 5, 10, 2, 13, 8, 7]",Low Risk level,cloudiness <= 75.00 AND yaw > 100.04 AND time <= 13.00 AND carcolor_H > 233.37 AND 17.00 < cardistance <= 23.00 AND cartype = vehicle.audi.etron AND fogdis <= 23.00 AND fogden <= 24.00 AND wind > 76.00 AND 80.37 < carcolor_S <= 100.00 AND roadtype = R AND 2.00 < carnumber <= 3.00 AND 56.08 < carcolor_V <= 65.88 AND roll <= 0.00 AND 49.00 < precipitation <= 75.00 AND ponding <= 75.00 AND pitch <= 0.00 AND wetness > 23.00,0.877207063,0,High Risk level
42,3277,"[1, 15, 6, 10, 5, 11, 16, 3, 2, 9, 15, 4, 7]",Safety level,cloudiness <= 24.00 AND 9.00 < cardistance <= 23.00 AND fogdis > 48.00 AND carcolor_H > 233.37 AND fogden <= 24.00 AND cartype = vehicle.audi.a2 AND carnumber <= 2.00 AND ponding <= 25.00 AND precipitation > 75.00 AND carcolor_S > 80.37 AND wind <= 76.00 AND wetness <= 74.00,0.966189857,0,Safety level
43,6574,"[15, 17, 1, 3, 6, 2, 0, 10, 5, 15, 0]",Safety level,cardistance <= 9.00 AND roadtype = I AND cloudiness <= 24.00 AND ponding <= 25.00 AND fogdis > 48.00 AND precipitation > 24.00 AND 7.00 < time <= 19.00 AND carcolor_H <= 233.37 AND fogden <= 76.00,0.954350927,0.0001,Safety level
44,5981,"[15, 17, 1, 8, 16, 6, 4, 0, 3, 1, 7, 2, 9, 15, 12, 15, 0, 4, 16, 1, 13]",Safety level,cardistance <= 9.00 AND roadtype = I AND cloudiness <= 24.00 AND carcolor_V > 56.08 AND carnumber <= 2.00 AND fogdis > 23.00 AND wind > 50.00 AND time <= 13.00 AND ponding > 25.00 AND wetness > 23.00 AND precipitation <= 75.00 AND carcolor_S <= 100.00 AND pitch <= 0.00 AND yaw > -178.77,0.953030303,0.0001,Safety level
45,6014,"[15, 17, 1, 9, 3, 14, 13, 4, 16, 4, 0, 1, 9, 6, 5, 2, 7, 13, 3, 7, 16, 15, 0]",Safety level,cardistance <= 9.00 AND roadtype = I AND cloudiness <= 50.00 AND 80.37 < carcolor_S <= 100.00 AND 25.00 < ponding <= 75.00 AND roll <= 0.00 AND yaw <= -178.77 AND wind > 50.00 AND carnumber <= 2.00 AND time <= 13.00 AND fogdis <= 23.00 AND fogden <= 50.00 AND precipitation > 24.00 AND wetness <= 49.00,0.946324387,0,Safety level
46,1620,"[1, 15, 6, 9]",High Risk level,cloudiness > 75.00 AND cardistance > 17.00 AND fogdis <= 48.00 AND carcolor_S <= 80.37,0.957983193,0.0356,High Risk level
47,4814,"[15, 1, 17, 1, 5, 6, 14, 9, 11, 10, 0, 4, 8, 8, 12, 4, 7, 16, 13, 16, 0]",Medium Risk Level,cardistance <= 17.00 AND 50.00 < cloudiness <= 75.00 AND roadtype = T AND fogden > 76.00 AND fogdis <= 23.00 AND roll <= 0.00 AND carcolor_S > 80.37 AND cartype = vehicle.audi.tt AND carcolor_H > 233.37 AND 7.00 < time <= 19.00 AND 50.00 < wind <= 76.00 AND 56.08 < carcolor_V <= 85.10 AND pitch <= 0.00 AND wetness <= 49.00 AND 2.00 < carnumber <= 3.00 AND yaw > -178.77,0.952309985,0.0004,Medium Risk Level
48,6244,"[15, 17, 1, 6, 7, 11, 8, 16, 2, 9, 5, 0, 1, 10, 8, 15, 12, 7, 3, 2, 0, 9, 0, 10, 4, 14]",Safety level,cardistance <= 9.00 AND roadtype = I AND cloudiness <= 50.00 AND fogdis > 48.00 AND wetness <= 23.00 AND cartype = vehicle.bmw.grandtourer AND carcolor_V <= 56.08 AND carnumber > 2.00 AND precipitation > 49.00 AND carcolor_S <= 80.37 AND fogden <= 76.00 AND time > 19.00 AND carcolor_H <= 69.60 AND pitch <= 0.00 AND ponding <= 75.00 AND wind <= 76.00 AND roll <= 0.00,0.937566138,0.0002,Safety level
49,1410,"[1, 15, 6, 5, 11, 14, 12, 3, 4, 9, 1, 5, 13, 10, 6, 6, 13, 9, 2, 4, 1, 2, 16, 0, 7, 7, 8, 8, 10, 0, 10, 0, 4]",High Risk level,cloudiness > 75.00 AND cardistance > 9.00 AND fogdis <= 23.00 AND fogden > 50.00 AND cartype = vehicle.jeep.wrangler_rubicon AND roll <= 0.00 AND pitch <= 0.00 AND ponding > 25.00 AND wind > 76.00 AND carcolor_S <= 80.37 AND yaw > 0.01 AND carcolor_H <= 0.00 AND 24.00 < precipitation <= 75.00 AND carnumber > 2.00 AND time <= 7.00 AND wetness <= 49.00 AND carcolor_V > 65.88,0.859517426,0,High Risk level
50,3014,"[1, 15, 10, 11, 0, 0, 6, 8, 5, 13, 12, 14, 16, 9, 4, 5, 10, 1, 9, 15, 8, 10, 13, 2, 15, 3, 2, 7, 7, 8, 4, 6, 3, 9, 0]",Low Risk level,cloudiness <= 50.00 AND cardistance > 23.00 AND carcolor_H > 233.37 AND cartype = vehicle.audi.a2 AND 13.00 < time <= 19.00 AND 23.00 < fogdis <= 74.00 AND 56.08 < carcolor_V <= 65.88 AND fogden > 50.00 AND yaw > 0.01 AND pitch > 0.00 AND roll <= 0.00 AND carnumber > 2.00 AND 80.37 < carcolor_S <= 100.00 AND wind <= 50.00 AND precipitation <= 49.00 AND ponding <= 50.00 AND wetness <= 49.00,0.908176101,0,Low Risk level
51,301,"[15, 1, 6, 0]",High Risk level,cardistance > 23.00 AND cloudiness > 50.00 AND fogdis <= 23.00 AND time > 13.00,0.971590909,0.0137,High Risk level
52,5539,"[17, 11, 8, 10, 1, 15, 6, 12]",Medium Risk Level,roadtype = T AND cartype = vehicle.volkswagen.t2 AND carcolor_V <= 56.08 AND carcolor_H <= 69.60 AND cloudiness <= 24.00 AND cardistance > 17.00 AND fogdis <= 74.00 AND pitch <= 0.00,0.968314322,0.0024,Medium Risk Level
53,6376,"[15, 10, 1, 6, 11, 5, 3, 8, 13, 4, 7, 17, 2, 15, 9, 7, 8, 2, 16, 10, 13, 13, 10, 16]",Safety level,cardistance <= 17.00 AND carcolor_H > 233.37 AND cloudiness <= 75.00 AND fogdis > 23.00 AND cartype = vehicle.audi.tt AND fogden <= 76.00 AND ponding <= 75.00 AND 56.08 < carcolor_V <= 85.10 AND yaw > 100.04 AND wind <= 76.00 AND 23.00 < wetness <= 74.00 AND roadtype = R AND precipitation <= 49.00 AND carcolor_S <= 100.00 AND 2.00 < carnumber <= 3.00,0.767253045,0.0004,Safety level
54,3361,"[1, 17, 15, 6, 7, 14, 8, 4, 7, 3, 2, 10, 13, 9, 10, 1, 1, 16, 6, 13, 2, 0, 7, 5, 5, 4]",High Risk level,cloudiness > 75.00 AND roadtype = T AND cardistance > 9.00 AND fogdis <= 48.00 AND 49.00 < wetness <= 74.00 AND roll <= 0.00 AND carcolor_V > 56.08 AND wind > 50.00 AND ponding > 25.00 AND 24.00 < precipitation <= 75.00 AND carcolor_H <= 69.60 AND yaw > 0.01 AND carcolor_S <= 100.00 AND carnumber > 2.00 AND time > 19.00 AND fogden <= 50.00,0.850814664,0,Low Risk level
55,5282,"[17, 11, 10, 1, 15, 13, 9, 6, 16, 14, 2, 10, 12, 0, 6, 3, 8, 9, 10, 3, 2, 8, 13, 7, 9, 13, 0, 4, 5, 4, 7, 16, 4, 7, 6, 8, 5, 5, 2, 3, 0, 15, 1, 15, 1]",Medium Risk Level,roadtype = T AND cartype = vehicle.jeep.wrangler_rubicon AND carcolor_H <= 0.00 AND 50.00 < cloudiness <= 75.00 AND 9.00 < cardistance <= 17.00 AND yaw <= -178.77 AND carcolor_S <= 0.00 AND fogdis > 74.00 AND carnumber <= 2.00 AND roll <= 0.00 AND precipitation > 75.00 AND pitch <= 0.00 AND 7.00 < time <= 13.00 AND 50.00 < ponding <= 75.00 AND 65.88 < carcolor_V <= 85.10 AND 49.00 < wetness <= 74.00 AND 24.00 < wind <= 50.00 AND fogden <= 24.00,0.842696629,0,Medium Risk Level
56,3370,"[1, 6, 5, 17, 15, 15, 0, 0, 4, 14, 8, 2, 1, 3, 4, 5, 0, 1, 15, 8]",Low Risk level,cloudiness <= 24.00 AND fogdis <= 23.00 AND fogden > 76.00 AND roadtype = R AND 9.00 < cardistance <= 17.00 AND 13.00 < time <= 19.00 AND 24.00 < wind <= 76.00 AND roll <= 0.00 AND carcolor_V <= 65.88 AND precipitation > 24.00 AND ponding <= 75.00,0.935076646,0,Low Risk level
